,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BWH,BWD,BWA,H_ELO,A_ELO,IDX
31,2012-09-22,FC Schalke 04,Bayern München,0,2,2,4.0,3.4,1.91,3.8,3.4,1.95,2548,2726,31
32,2012-09-22,VfL Wolfsburg,SpVgg Greuther Fürth,1,1,1,1.8,3.75,4.2,1.78,3.6,4.33,2370,2176,32
33,2012-09-23,TSG 1899 Hoffenheim,Hannover 96,3,1,0,2.5,3.4,2.7,2.5,3.6,2.75,2350,2211,33
34,2012-09-23,Bayer Leverkusen,Borussia Mönchengladbach,1,1,1,1.91,3.6,3.8,2.05,3.6,3.6,2478,2534,34
35,2012-09-23,Werder Bremen,VfB Stuttgart,2,2,1,1.91,3.6,3.75,2.0,3.6,3.8,2352,2333,35
36,2012-09-25,FC Schalke 04,1. FSV Mainz 05,3,0,0,1.57,3.8,6.0,1.57,3.9,5.75,2544,2349,36
37,2012-09-25,SpVgg Greuther Fürth,Fortuna Düsseldorf,0,2,2,2.15,3.25,3.5,2.1,3.4,3.7,2347,2380,37
38,2012-09-25,Eintracht Frankfurt,Borussia Dortmund,3,3,1,4.2,3.75,1.8,3.9,3.7,1.83,2390,2610,38
39,2012-09-25,Bayern München,VfL Wolfsburg,3,0,0,1.2,6.5,13.0,1.2,6.5,12.0,2704,2471,39
40,2012-09-26,FC Augsburg,Bayer Leverkusen,1,3,2,3.2,3.3,2.25,3.1,3.2,2.3,2334,2555,40
41,2012-09-26,SC Freiburg,Werder Bremen,1,2,2,2.5,3.4,2.7,2.7,3.6,2.55,2354,2492,41
42,2012-09-26,Hannover 96,1. FC Nürnberg,4,1,0,2.1,3.4,3.4,2.1,3.5,3.6,2426,2196,42
43,2012-09-26,Borussia Mönchengladbach,Hamburger SV,2,2,1,1.91,3.5,4.0,1.9,3.4,4.0,2470,2340,43
44,2012-09-26,VfB Stuttgart,TSG 1899 Hoffenheim,0,3,2,1.83,3.75,4.0,1.75,3.75,4.33,2437,2525,44
45,2012-09-28,Fortuna Düsseldorf,FC Schalke 04,2,2,1,4.33,3.5,1.83,4.6,3.5,1.85,2375,2461,45
46,2012-09-29,Werder Bremen,Bayern München,0,2,2,6.0,4.0,1.53,5.5,4.1,1.55,2333,2726,46
47,2012-09-29,1. FC Nürnberg,VfB Stuttgart,0,2,2,2.3,3.4,3.0,2.2,3.5,3.0,2341,2333,47
48,2012-09-29,Bayer Leverkusen,SpVgg Greuther Fürth,2,0,0,1.44,4.33,7.0,1.45,4.33,6.75,2486,2176,48
49,2012-09-29,Hamburger SV,Hannover 96,1,0,0,2.3,3.4,3.0,2.35,3.6,2.95,2334,2211,49
50,2012-09-29,Borussia Dortmund,Borussia Mönchengladbach,5,0,0,1.36,4.5,9.0,1.4,4.75,7.0,2681,2534,50
51,2012-09-29,TSG 1899 Hoffenheim,FC Augsburg,0,0,1,1.75,3.75,4.5,1.75,3.6,4.5,2345,2335,51
52,2012-09-30,Eintracht Frankfurt,SC Freiburg,2,1,0,1.75,3.75,4.5,1.75,3.5,4.75,2380,2414,52
53,2012-09-30,VfL Wolfsburg,1. FSV Mainz 05,0,2,2,2.1,3.4,3.4,2.2,3.5,3.3,2345,2349,53
54,2012-10-05,FC Augsburg,Werder Bremen,3,1,0,2.9,3.5,2.3,3.2,3.4,2.3,2349,2492,54
55,2012-10-06,FC Schalke 04,VfL Wolfsburg,3,0,0,1.4,4.5,8.0,1.42,4.5,7.0,2560,2471,55
56,2012-10-06,1. FSV Mainz 05,Fortuna Düsseldorf,1,0,0,1.83,3.5,4.33,1.9,3.4,4.0,2408,2380,56
57,2012-10-06,SC Freiburg,1. FC Nürnberg,3,0,0,2.1,3.5,3.3,2.2,3.5,3.3,2387,2196,57
58,2012-10-06,Bayern München,TSG 1899 Hoffenheim,2,0,0,1.14,7.5,17.0,1.15,7.5,15.0,2689,2525,58
59,2012-10-06,SpVgg Greuther Fürth,Hamburger SV,0,1,2,2.7,3.4,2.5,2.8,3.4,2.4,2336,2340,59
60,2012-10-07,Hannover 96,Borussia Dortmund,1,1,1,5.0,3.75,1.67,4.6,3.75,1.7,2417,2610,60
61,2012-10-07,Borussia Mönchengladbach,Eintracht Frankfurt,2,0,0,2.25,3.5,3.0,2.4,3.6,2.9,2452,2531,61
62,2012-10-07,VfB Stuttgart,Bayer Leverkusen,2,2,1,2.4,3.5,2.75,2.65,3.6,2.6,2446,2555,62
63,2012-10-19,TSG 1899 Hoffenheim,SpVgg Greuther Fürth,3,3,1,1.83,3.6,4.2,1.91,3.5,4.33,2330,2176,63
64,2012-10-20,Fortuna Düsseldorf,Bayern München,0,5,2,11.0,5.0,1.29,9.25,4.75,1.33,2341,2726,64
65,2012-10-20,Borussia Dortmund,FC Schalke 04,1,2,2,1.62,4.0,5.0,1.75,3.8,5.0,2672,2461,65
66,2012-10-20,Eintracht Frankfurt,Hannover 96,3,1,0,2.1,3.5,3.3,2.2,3.7,3.2,2388,2211,66
67,2012-10-20,Bayer Leverkusen,1. FSV Mainz 05,2,2,1,1.67,3.8,5.0,1.67,3.8,4.75,2500,2349,67
68,2012-10-20,Werder Bremen,Borussia Mönchengladbach,4,0,0,2.1,3.4,3.4,2.2,3.5,3.3,2362,2534,68
69,2012-10-20,VfL Wolfsburg,SC Freiburg,0,2,2,2.25,3.4,3.1,2.2,3.4,3.1,2352,2414,69
70,2012-10-21,Hamburger SV,VfB Stuttgart,0,1,2,2.25,3.4,3.1,2.35,3.6,2.95,2343,2333,70
71,2012-10-21,1. FC Nürnberg,FC Augsburg,0,0,1,2.0,3.5,3.6,2.0,3.4,3.6,2336,2335,71
72,2012-10-26,FC Augsburg,Hamburger SV,0,2,2,2.38,3.4,2.88,2.65,3.4,2.7,2337,2340,72
73,2012-10-27,FC Schalke 04,1. FC Nürnberg,1,0,0,1.3,5.5,9.0,1.31,5.5,10.5,2584,2196,73
74,2012-10-27,1. FSV Mainz 05,TSG 1899 Hoffenheim,3,0,0,2.0,3.5,3.6,2.05,3.5,3.4,2426,2525,74
75,2012-10-27,SpVgg Greuther Fürth,Werder Bremen,1,1,1,2.6,3.4,2.6,2.75,3.5,2.55,2338,2492,75
76,2012-10-27,SC Freiburg,Borussia Dortmund,0,2,2,5.5,3.75,1.62,5.5,4.0,1.65,2396,2610,76
77,2012-10-27,Fortuna Düsseldorf,VfL Wolfsburg,1,4,2,2.3,3.3,3.1,2.3,3.4,2.9,2355,2471,77
78,2012-10-28,Bayern München,Bayer Leverkusen,1,2,2,1.22,6.0,13.0,1.22,6.35,11.0,2677,2555,78
79,2012-10-28,Hannover 96,Borussia Mönchengladbach,2,3,2,1.91,3.6,3.8,2.0,3.6,3.8,2409,2534,79
80,2012-10-28,VfB Stuttgart,Eintracht Frankfurt,2,1,0,2.1,3.5,3.3,2.15,3.7,3.3,2461,2531,80
81,2012-11-02,Eintracht Frankfurt,SpVgg Greuther Fürth,1,1,1,1.6,4.0,5.25,1.67,3.8,5.75,2381,2176,81
82,2012-11-03,1. FC Nürnberg,VfL Wolfsburg,1,0,0,2.5,3.4,2.7,2.55,3.4,2.6,2339,2471,82
83,2012-11-03,Borussia Mönchengladbach,SC Freiburg,1,1,1,2.25,3.25,3.2,2.25,3.5,3.2,2461,2414,83
84,2012-11-03,TSG 1899 Hoffenheim,FC Schalke 04,3,2,0,4.33,3.6,1.8,4.2,3.8,1.85,2349,2461,84
85,2012-11-03,Hannover 96,FC Augsburg,2,0,0,1.7,3.75,4.75,1.72,3.8,4.4,2439,2335,85
86,2012-11-03,Hamburger SV,Bayern München,0,3,2,7.5,5.0,1.36,7.25,5.0,1.36,2340,2726,86
87,2012-11-03,Borussia Dortmund,VfB Stuttgart,0,0,1,1.33,5.0,9.0,1.4,5.0,8.0,2679,2333,87
88,2012-11-04,Bayer Leverkusen,Fortuna Düsseldorf,3,2,0,1.44,4.33,7.0,1.44,4.2,7.25,2488,2380,88
89,2012-11-04,Werder Bremen,1. FSV Mainz 05,2,1,0,2.0,3.5,3.6,2.05,3.6,3.6,2369,2349,89
90,2012-11-09,1. FSV Mainz 05,1. FC Nürnberg,2,1,0,1.8,3.5,4.5,1.83,3.6,4.6,2410,2196,90
91,2012-11-10,FC Schalke 04,Werder Bremen,2,1,0,1.44,4.5,7.0,1.55,4.33,6.25,2553,2492,91
92,2012-11-10,SC Freiburg,Hamburger SV,0,0,1,2.0,3.5,3.6,2.05,3.6,3.3,2409,2340,92
93,2012-11-10,Fortuna Düsseldorf,TSG 1899 Hoffenheim,1,1,1,2.75,3.3,2.5,2.65,3.4,2.5,2339,2525,93
94,2012-11-10,Bayern München,Eintracht Frankfurt,2,0,0,1.17,7.0,16.0,1.18,7.25,12.0,2683,2531,94
95,2012-11-10,FC Augsburg,Borussia Dortmund,1,3,2,6.5,4.1,1.5,6.5,4.0,1.5,2312,2610,95
96,2012-11-11,SpVgg Greuther Fürth,Borussia Mönchengladbach,2,4,2,2.6,3.25,2.7,2.65,3.4,2.7,2322,2534,96
97,2012-11-11,VfB Stuttgart,Hannover 96,2,4,2,2.0,3.5,3.6,2.0,3.5,3.5,2461,2211,97
98,2012-11-11,VfL Wolfsburg,Bayer Leverkusen,3,1,0,3.1,3.5,2.2,3.2,3.7,2.2,2386,2555,98
99,2012-11-17,1. FC Nürnberg,Bayern München,1,1,1,10.0,5.5,1.29,10.0,5.25,1.28,2347,2726,99
100,2012-11-17,Borussia Mönchengladbach,VfB Stuttgart,1,2,2,2.38,3.4,2.88,2.55,3.5,2.75,2445,2333,100
101,2012-11-17,Bayer Leverkusen,FC Schalke 04,2,0,0,2.63,3.5,2.5,2.65,3.6,2.6,2513,2461,101
102,2012-11-17,Hannover 96,SC Freiburg,1,2,2,2.1,3.4,3.4,1.95,3.5,3.7,2418,2414,102
103,2012-11-17,Hamburger SV,1. FSV Mainz 05,1,0,0,2.4,3.4,2.8,2.3,3.5,3.1,2339,2349,103
104,2012-11-17,Eintracht Frankfurt,FC Augsburg,4,2,0,1.73,3.75,4.5,1.7,3.7,4.75,2398,2335,104
105,2012-11-17,Borussia Dortmund,SpVgg Greuther Fürth,3,1,0,1.17,7.0,15.0,1.17,7.25,13.0,2699,2176,105
106,2012-11-18,TSG 1899 Hoffenheim,VfL Wolfsburg,1,3,2,2.25,3.4,3.1,2.3,3.5,3.1,2324,2471,106
107,2012-11-18,Werder Bremen,Fortuna Düsseldorf,2,1,0,1.53,4.1,6.0,1.53,4.1,5.75,2379,2380,107
108,2012-11-23,Fortuna Düsseldorf,Hamburger SV,2,0,0,3.0,3.25,2.38,2.9,3.4,2.3,2362,2340,108
109,2012-11-24,FC Schalke 04,Eintracht Frankfurt,1,1,1,1.5,4.33,6.0,1.5,4.5,5.5,2532,2531,109
110,2012-11-24,1. FSV Mainz 05,Borussia Dortmund,1,2,2,5.5,3.75,1.62,5.5,3.7,1.62,2423,2610,110
111,2012-11-24,VfL Wolfsburg,Werder Bremen,1,1,1,2.25,3.4,3.1,2.25,3.5,2.95,2374,2492,111
112,2012-11-24,Bayern München,Hannover 96,5,0,0,1.17,7.0,15.0,1.17,7.25,13.0,2694,2211,112
113,2012-11-24,SpVgg Greuther Fürth,1. FC Nürnberg,0,0,1,2.5,3.3,2.75,2.35,3.4,2.85,2312,2196,113
114,2012-11-25,FC Augsburg,Borussia Mönchengladbach,1,1,1,2.38,3.25,3.0,2.3,3.4,2.95,2309,2534,114
115,2012-11-25,SC Freiburg,VfB Stuttgart,3,0,0,2.2,3.5,3.1,2.3,3.5,2.85,2421,2333,115
116,2012-11-25,TSG 1899 Hoffenheim,Bayer Leverkusen,1,2,2,3.1,3.4,2.25,3.2,3.4,2.15,2312,2555,116
117,2012-11-27,Hamburger SV,FC Schalke 04,3,1,0,4.5,3.5,1.8,4.5,3.5,1.78,2363,2461,117
118,2012-11-27,Hannover 96,SpVgg Greuther Fürth,2,0,0,1.62,4.0,5.0,1.67,3.8,4.75,2418,2176,118
119,2012-11-27,Borussia Dortmund,Fortuna Düsseldorf,1,1,1,1.13,8.0,19.0,1.15,7.25,16.0,2696,2380,119
120,2012-11-27,Eintracht Frankfurt,1. FSV Mainz 05,1,3,2,2.1,3.4,3.4,2.0,3.4,3.6,2360,2349,120
121,2012-11-28,SC Freiburg,Bayern München,0,2,2,8.0,4.75,1.36,7.75,5.0,1.35,2419,2726,121
122,2012-11-28,Borussia Mönchengladbach,VfL Wolfsburg,2,0,0,2.38,3.4,2.88,2.4,3.4,2.8,2460,2471,122
123,2012-11-28,1. FC Nürnberg,TSG 1899 Hoffenheim,4,2,0,2.3,3.4,3.0,2.35,3.25,2.95,2355,2525,123
124,2012-11-28,VfB Stuttgart,FC Augsburg,2,1,0,1.6,4.0,5.25,1.62,4.0,5.0,2456,2335,124
125,2012-11-28,Werder Bremen,Bayer Leverkusen,1,4,2,2.6,3.5,2.55,2.6,3.3,2.6,2384,2555,125
126,2012-11-30,Fortuna Düsseldorf,Eintracht Frankfurt,4,0,0,2.88,3.4,2.38,2.85,3.3,2.4,2367,2531,126
127,2012-12-01,FC Schalke 04,Borussia Mönchengladbach,1,1,1,1.44,4.5,6.5,1.48,4.5,5.75,2522,2534,127
128,2012-12-01,Bayer Leverkusen,1. FC Nürnberg,1,0,0,1.5,4.33,6.0,1.45,4.6,6.0,2519,2196,128
129,2012-12-01,1. FSV Mainz 05,Hannover 96,2,1,0,2.0,3.5,3.6,2.0,3.5,3.5,2420,2211,129
130,2012-12-01,Bayern München,Borussia Dortmund,1,1,1,1.75,3.8,4.33,1.8,3.7,4.1,2694,2610,130
131,2012-12-01,FC Augsburg,SC Freiburg,1,1,1,2.5,3.3,2.75,2.5,3.3,2.7,2306,2414,131
132,2012-12-01,SpVgg Greuther Fürth,VfB Stuttgart,0,1,2,3.0,3.4,2.3,2.9,3.4,2.3,2298,2333,132
133,2012-12-02,TSG 1899 Hoffenheim,Werder Bremen,1,4,2,2.6,3.3,2.63,2.55,3.4,2.6,2283,2492,133
134,2012-12-02,VfL Wolfsburg,Hamburger SV,1,1,1,1.91,3.6,3.75,1.95,3.5,3.7,2392,2340,134
135,2012-12-07,Hamburger SV,TSG 1899 Hoffenheim,2,0,0,2.0,3.5,3.75,2.0,3.5,3.5,2364,2525,135
136,2012-12-08,VfB Stuttgart,FC Schalke 04,3,1,0,3.1,3.4,2.25,2.8,3.4,2.4,2457,2461,136
137,2012-12-08,SC Freiburg,SpVgg Greuther Fürth,1,0,0,1.7,3.6,5.0,1.7,3.5,5.0,2447,2176,137
138,2012-12-08,1. FC Nürnberg,Fortuna Düsseldorf,2,0,0,1.91,3.3,4.2,1.9,3.4,4.0,2371,2380,138
139,2012-12-08,Borussia Dortmund,VfL Wolfsburg,2,3,2,1.29,5.5,10.0,1.28,5.75,8.75,2688,2471,139
140,2012-12-08,FC Augsburg,Bayern München,0,2,2,10.0,5.5,1.29,9.25,5.5,1.28,2308,2726,140
141,2012-12-08,Eintracht Frankfurt,Werder Bremen,4,1,0,2.4,3.5,2.8,2.4,3.5,2.7,2396,2492,141
142,2012-12-09,Hannover 96,Bayer Leverkusen,3,2,0,2.8,3.5,2.4,2.8,3.5,2.35,2419,2555,142
143,2012-12-09,Borussia Mönchengladbach,1. FSV Mainz 05,2,0,0,2.4,3.3,2.9,2.35,3.3,2.9,2479,2349,143
144,2012-12-14,Bayern München,Borussia Mönchengladbach,1,1,1,1.14,7.5,17.0,1.18,7.25,12.0,2695,2534,144
145,2012-12-15,VfL Wolfsburg,Eintracht Frankfurt,0,2,2,2.1,3.5,3.3,2.05,3.6,3.25,2387,2531,145
146,2012-12-15,Fortuna Düsseldorf,Hannover 96,2,1,0,2.75,3.3,2.5,2.7,3.3,2.5,2353,2211,146
147,2012-12-15,SpVgg Greuther Fürth,FC Augsburg,1,1,1,2.38,3.2,3.0,2.4,3.2,2.95,2294,2335,147
148,2012-12-15,Bayer Leverkusen,Hamburger SV,3,0,0,1.6,4.0,5.25,1.57,3.9,5.75,2514,2340,148
149,2012-12-15,1. FSV Mainz 05,VfB Stuttgart,3,1,0,2.25,3.4,3.1,2.25,3.4,3.0,2450,2333,149
150,2012-12-15,FC Schalke 04,SC Freiburg,1,3,2,1.67,3.75,5.0,1.62,3.8,5.25,2470,2414,150
151,2012-12-16,TSG 1899 Hoffenheim,Borussia Dortmund,1,3,2,7.0,4.33,1.44,6.25,4.5,1.45,2283,2610,151
152,2012-12-16,Werder Bremen,1. FC Nürnberg,1,1,1,1.83,4.0,3.75,1.83,3.5,4.2,2356,2196,152
153,2013-01-18,FC Schalke 04,Hannover 96,5,4,0,1.67,3.8,5.0,1.72,4.0,4.25,2475,2211,153
154,2013-01-19,Bayern München,SpVgg Greuther Fürth,2,0,0,1.1,10.0,19.0,1.11,9.25,18.0,2705,2176,154
155,2013-01-19,TSG 1899 Hoffenheim,Borussia Mönchengladbach,0,0,1,2.38,3.4,2.9,2.5,3.4,2.7,2277,2534,155
156,2013-01-19,Bayer Leverkusen,Eintracht Frankfurt,3,1,0,1.67,4.0,4.75,1.62,4.0,5.0,2522,2531,156
157,2013-01-19,1. FSV Mainz 05,SC Freiburg,0,0,1,2.2,3.25,3.3,2.0,3.5,3.6,2462,2414,157
158,2013-01-19,Werder Bremen,Borussia Dortmund,0,5,2,5.0,3.75,1.67,5.0,3.75,1.67,2347,2610,158
159,2013-01-19,VfL Wolfsburg,VfB Stuttgart,2,0,0,2.1,3.5,3.3,2.15,3.4,3.25,2394,2333,159
160,2013-01-20,Fortuna Düsseldorf,FC Augsburg,2,3,2,2.3,3.3,3.1,2.3,3.25,3.1,2334,2335,160
161,2013-01-20,1. FC Nürnberg,Hamburger SV,1,1,1,2.3,3.2,3.2,2.3,3.4,3.0,2365,2340,161
162,2013-01-25,Borussia Dortmund,1. FC Nürnberg,3,0,0,1.18,6.5,15.0,1.18,6.75,14.0,2713,2196,162
163,2013-01-26,Borussia Mönchengladbach,Fortuna Düsseldorf,2,1,0,1.62,3.8,5.5,1.7,3.9,4.5,2467,2380,163
164,2013-01-26,Hannover 96,VfL Wolfsburg,2,1,0,2.1,3.5,3.3,2.15,3.4,3.25,2399,2471,164
165,2013-01-26,SpVgg Greuther Fürth,1. FSV Mainz 05,0,3,2,3.1,3.3,2.3,2.85,3.4,2.4,2298,2349,165
166,2013-01-26,FC Augsburg,FC Schalke 04,0,0,1,3.6,3.5,2.0,3.6,3.5,2.0,2325,2461,166
167,2013-01-26,Eintracht Frankfurt,TSG 1899 Hoffenheim,2,1,0,1.95,3.6,3.6,1.91,3.5,3.9,2411,2525,167
168,2013-01-26,SC Freiburg,Bayer Leverkusen,0,0,1,2.75,3.3,2.5,2.7,3.4,2.5,2440,2555,168
169,2013-01-27,Hamburger SV,Werder Bremen,3,2,0,2.38,3.5,2.8,2.3,3.5,2.9,2358,2492,169
170,2013-01-27,VfB Stuttgart,Bayern München,0,2,2,8.0,4.5,1.4,6.25,5.25,1.4,2419,2726,170
171,2013-02-01,Werder Bremen,Hannover 96,2,0,0,1.85,3.8,3.8,1.91,3.7,3.7,2389,2211,171
172,2013-02-02,FC Schalke 04,SpVgg Greuther Fürth,1,2,2,1.33,5.0,9.0,1.3,5.5,9.0,2451,2176,172
173,2013-02-02,VfL Wolfsburg,FC Augsburg,1,1,1,1.83,3.5,4.33,1.75,3.5,4.75,2400,2335,173
174,2013-02-02,1. FSV Mainz 05,Bayern München,0,3,2,8.0,4.5,1.4,7.25,4.75,1.4,2450,2726,174
175,2013-02-02,Fortuna Düsseldorf,VfB Stuttgart,3,1,0,3.2,3.25,2.25,3.1,3.25,2.3,2345,2333,175
176,2013-02-02,Hamburger SV,Eintracht Frankfurt,0,2,2,2.3,3.4,3.0,2.2,3.5,3.1,2393,2531,176
177,2013-02-02,TSG 1899 Hoffenheim,SC Freiburg,2,1,0,2.5,3.3,2.75,2.5,3.4,2.7,2285,2414,177
178,2013-02-03,Bayer Leverkusen,Borussia Dortmund,2,3,2,3.3,3.5,2.1,3.25,3.6,2.1,2515,2610,178
179,2013-02-03,1. FC Nürnberg,Borussia Mönchengladbach,2,1,0,2.4,3.2,3.0,2.45,3.25,2.85,2381,2534,179
180,2013-02-09,VfB Stuttgart,Werder Bremen,1,4,2,2.25,3.5,3.0,2.35,3.5,2.8,2404,2492,180
181,2013-02-09,Borussia Mönchengladbach,Bayer Leverkusen,3,3,1,3.1,3.4,2.25,3.2,3.25,2.25,2455,2555,181
182,2013-02-09,SpVgg Greuther Fürth,VfL Wolfsburg,0,1,2,2.88,3.3,2.4,2.9,3.3,2.4,2281,2471,182
183,2013-02-09,Hannover 96,TSG 1899 Hoffenheim,1,0,0,2.2,3.4,3.2,2.1,3.5,3.3,2406,2525,183
184,2013-02-09,Borussia Dortmund,Hamburger SV,1,4,2,1.25,6.0,10.0,1.26,6.25,9.0,2675,2340,184
185,2013-02-09,Bayern München,FC Schalke 04,4,0,0,1.25,5.5,12.0,1.26,6.5,8.5,2726,2461,185
186,2013-02-09,Eintracht Frankfurt,1. FC Nürnberg,0,0,1,1.83,3.5,4.33,1.85,3.6,4.1,2403,2196,186
187,2013-02-10,FC Augsburg,1. FSV Mainz 05,1,1,1,2.6,3.2,2.75,2.65,3.3,2.6,2323,2349,187
188,2013-02-10,SC Freiburg,Fortuna Düsseldorf,1,0,0,1.62,3.75,5.5,1.62,3.9,5.25,2458,2380,188
189,2013-02-15,VfL Wolfsburg,Bayern München,0,2,2,7.0,4.75,1.4,7.25,4.75,1.4,2398,2726,189
190,2013-02-16,1. FSV Mainz 05,FC Schalke 04,2,2,1,2.25,3.4,3.1,2.25,3.4,3.1,2445,2461,190
191,2013-02-16,Werder Bremen,SC Freiburg,2,3,2,2.0,3.5,3.6,2.0,3.5,3.6,2374,2414,191
192,2013-02-16,Bayer Leverkusen,FC Augsburg,2,1,0,1.5,4.1,6.5,1.5,4.2,6.25,2514,2335,192
193,2013-02-16,Borussia Dortmund,Eintracht Frankfurt,3,0,0,1.4,4.75,7.5,1.4,5.25,6.25,2676,2531,193
194,2013-02-16,Fortuna Düsseldorf,SpVgg Greuther Fürth,1,0,0,2.3,3.2,3.2,2.25,3.2,3.25,2346,2176,194
195,2013-02-16,Hamburger SV,Borussia Mönchengladbach,1,0,0,1.91,3.5,4.0,1.95,3.5,3.75,2386,2534,195
196,2013-02-17,TSG 1899 Hoffenheim,VfB Stuttgart,0,1,2,2.25,3.4,3.1,2.25,3.5,3.0,2268,2333,196
197,2013-02-17,1. FC Nürnberg,Hannover 96,2,2,1,2.0,3.4,3.75,2.1,3.6,3.25,2382,2211,197
198,2013-02-22,SC Freiburg,Eintracht Frankfurt,0,0,1,2.05,3.4,3.5,2.0,3.5,3.6,2467,2531,198
199,2013-02-23,FC Augsburg,TSG 1899 Hoffenheim,2,1,0,2.1,3.2,3.6,2.25,3.25,3.2,2345,2525,199
200,2013-02-23,Bayern München,Werder Bremen,6,1,0,1.17,7.0,15.0,1.19,6.75,13.0,2748,2492,200
201,2013-02-23,Hannover 96,Hamburger SV,5,1,0,2.5,3.4,2.7,2.5,3.5,2.65,2420,2340,201
202,2013-02-23,FC Schalke 04,Fortuna Düsseldorf,2,1,0,1.44,4.33,7.0,1.48,4.6,5.75,2480,2380,202
203,2013-02-23,VfB Stuttgart,1. FC Nürnberg,1,1,1,2.1,3.4,3.4,2.1,3.5,3.3,2407,2196,203
