,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,Season,H_ELO,A_ELO
33,2018-09-22,VfL Wolfsburg,SC Freiburg,1,3,2,0,2,2,17,12,9.0,8.0,12,17,7,7,0,3,0,0,1.72,3.6,5.25,1.7,3.8,5.0,18/19,2471,2414
34,2018-09-23,Eintracht Frankfurt,RBLeipzig,1,1,1,1,0,0,8,9,5.0,2.0,14,8,4,2,1,1,0,0,2.9,3.4,2.35,3.1,3.4,2.3,18/19,2531,2638
35,2018-09-23,Bayer Leverkusen,1. FSV Mainz 05,1,0,0,0,0,1,18,12,5.0,5.0,12,13,7,4,2,2,0,0,1.57,4.33,5.5,1.57,4.25,5.5,18/19,2555,2349
36,2018-09-25,Bayern München,FC Augsburg,1,1,1,0,0,1,16,12,8.0,4.0,6,15,8,4,3,2,0,0,1.1,10.0,23.0,1.11,9.5,21.0,18/19,2726,2335
37,2018-09-25,SC Freiburg,FC Schalke 04,1,0,0,0,0,1,15,15,4.0,3.0,12,11,3,3,2,4,0,0,3.5,3.2,2.14,3.4,3.3,2.2,18/19,2414,2461
38,2018-09-25,Hannover 96,TSG 1899 Hoffenheim,1,3,2,0,1,2,17,17,8.0,9.0,12,13,8,5,2,2,0,0,3.5,3.6,2.04,3.4,3.75,2.05,18/19,2211,2525
39,2018-09-25,Werder Bremen,Hertha BSC,3,1,0,2,0,0,14,12,6.0,2.0,13,9,2,3,1,3,0,0,2.0,3.5,3.8,2.1,3.5,3.5,18/19,2492,2390
40,2018-09-26,Borussia Dortmund,1. FC Nürnberg,7,0,0,2,0,0,19,4,10.0,1.0,6,10,4,5,0,2,0,0,1.3,5.5,10.0,1.3,5.25,11.0,18/19,2610,2196
41,2018-09-26,Fortuna Düsseldorf,Bayer Leverkusen,1,2,2,0,0,1,16,6,4.0,3.0,6,12,7,5,2,2,0,0,3.75,3.75,1.95,3.9,3.7,1.91,18/19,2380,2555
42,2018-09-26,1. FSV Mainz 05,VfL Wolfsburg,0,0,1,0,0,1,11,12,2.0,4.0,13,15,5,11,1,2,0,0,2.6,3.25,2.8,2.6,3.4,2.7,18/19,2349,2471
