,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BWH,BWD,BWA,H_ELO,A_ELO,IDX,HTGD,ATGD,HP,AP,HTTP,ATTP,HGD,AGD
1125,2016-03-20,VfB Stuttgart,Bayer Leverkusen,0,2,2,2.3,3.5,2.9,2.35,3.3,2.9,2384,2674,1126,26,26,32,39,10,6,-9,4
1126,2016-04-01,Bayer Leverkusen,VfL Wolfsburg,3,0,0,2.0,3.2,4.0,2.0,3.5,3.8,2380,2516,1127,27,27,42,38,5,7,6,5
1127,2016-04-02,FC Ingolstadt 04,FC Schalke 04,3,0,0,2.75,3.0,2.7,2.7,3.2,2.6,2529,2525,1128,27,27,33,44,9,3,-8,4
1128,2016-04-02,1. FSV Mainz 05,FC Augsburg,4,2,0,2.1,3.4,3.6,2.05,3.2,3.7,2381,2449,1129,27,27,41,27,6,14,2,-10
1129,2016-04-02,Hannover 96,Hamburger SV,0,3,2,3.1,3.25,2.38,2.9,3.25,2.4,2463,2398,1130,27,27,17,31,17,11,-27,-7
1130,2016-04-02,Borussia Dortmund,Werder Bremen,3,2,0,1.2,7.0,13.0,1.2,6.5,11.5,2239,2353,1131,27,27,64,28,1,13,38,-18
1131,2016-04-02,SV Darmstadt 98,VfB Stuttgart,2,2,1,3.4,3.3,2.2,3.0,3.3,2.3,2669,2392,1132,27,27,28,32,12,10,-13,-11
1132,2016-04-02,Bayern München,Eintracht Frankfurt,1,0,0,1.13,9.0,21.0,1.1,9.0,21.0,2344,2377,1133,27,27,69,27,0,16,52,-14
1133,2016-04-03,TSG 1899 Hoffenheim,1. FC Köln,1,1,1,2.38,3.3,3.1,2.45,3.3,2.8,2792,2315,1134,27,27,27,33,15,8,-13,-6
1134,2016-04-03,Borussia Mönchengladbach,Hertha BSC,5,0,0,1.83,3.6,4.33,1.83,3.5,4.25,2388,2377,1135,27,27,42,48,4,2,10,10
1135,2016-04-08,Hertha BSC,Hannover 96,2,2,1,1.5,4.2,7.0,1.5,4.1,6.25,2517,2449,1136,28,28,48,17,2,17,5,-30
1136,2016-04-09,Eintracht Frankfurt,TSG 1899 Hoffenheim,0,2,2,2.3,3.25,3.1,2.45,3.25,2.8,2438,2263,1137,28,28,27,28,16,13,-15,-13
1137,2016-04-09,Hamburger SV,SV Darmstadt 98,1,2,2,2.05,3.4,3.6,2.05,3.25,3.6,2308,2399,1138,28,28,34,29,9,12,-4,-13
1138,2016-04-09,FC Ingolstadt 04,Borussia Mönchengladbach,1,0,0,3.2,3.4,2.2,3.1,3.3,2.25,2349,2359,1139,28,28,36,45,8,3,-5,15
1139,2016-04-09,VfB Stuttgart,Bayern München,1,3,2,6.0,4.33,1.5,6.0,4.75,1.44,2366,2492,1140,28,28,33,72,11,0,-11,53
1140,2016-04-09,Werder Bremen,FC Augsburg,1,2,2,2.05,3.4,3.5,2.15,3.3,3.3,2368,2788,1141,28,28,28,27,14,15,-19,-12
1141,2016-04-09,VfL Wolfsburg,1. FSV Mainz 05,1,1,1,2.2,3.4,3.25,2.05,3.5,3.4,2405,2406,1142,28,28,38,44,7,5,2,4
1142,2016-04-10,1. FC Köln,Bayer Leverkusen,0,2,2,3.1,3.25,2.3,3.0,3.3,2.3,2516,2448,1143,28,28,34,45,10,4,-6,9
1143,2016-04-10,FC Schalke 04,Borussia Dortmund,2,2,1,4.2,4.0,1.73,4.33,3.6,1.78,2392,2535,1144,28,28,44,67,6,1,1,39
1144,2016-04-15,Hannover 96,Borussia Mönchengladbach,2,0,0,5.5,4.0,1.62,5.0,4.1,1.65,2445,2673,1145,29,29,18,45,17,4,-30,14
1145,2016-04-16,FC Augsburg,VfB Stuttgart,1,0,0,2.45,3.6,2.75,2.5,3.3,2.75,2268,2502,1146,29,29,30,33,14,11,-11,-13
