,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,Season
61,2018-09-29,11,8,1.0,1.0,1.0,0.0,0.0,10.0,13.0,4.0,6.0,7.0,9.0,4.0,4.0,0.0,2.0,0.0,0.0,2.8,3.6,2.54,2.85,18/19
62,2018-09-29,12,2,3.0,0.0,0.0,0.0,1.0,19.0,6.0,6.0,0.0,13.0,13.0,12.0,1.0,0.0,3.0,0.0,0.0,1.75,4.2,4.75,1.75,18/19
63,2018-09-29,3,14,0.0,2.0,2.0,2.0,2.0,9.0,10.0,5.0,6.0,17.0,16.0,3.0,0.0,2.0,2.0,0.0,0.0,8.5,4.5,1.44,7.5,18/19
64,2018-09-29,18,16,2.0,0.0,0.0,0.0,0.0,28.0,4.0,8.0,1.0,4.0,10.0,10.0,3.0,0.0,3.0,0.0,0.0,1.1,12.0,34.0,1.08,18/19
65,2018-09-29,4,13,0.0,2.0,2.0,1.0,2.0,6.0,12.0,1.0,5.0,11.0,5.0,5.0,9.0,0.0,0.0,0.0,0.0,2.6,3.3,3.0,2.55,18/19
66,2018-09-29,15,0,3.0,1.0,0.0,0.0,0.0,8.0,9.0,3.0,4.0,12.0,12.0,4.0,9.0,0.0,1.0,0.0,0.0,4.5,3.8,1.85,4.1,18/19
67,2018-09-29,6,9,2.0,0.0,0.0,0.0,1.0,14.0,17.0,6.0,6.0,11.0,7.0,8.0,6.0,3.0,1.0,0.0,0.0,1.8,3.6,5.25,1.8,18/19
68,2018-09-30,10,17,1.0,2.0,2.0,0.0,1.0,19.0,3.0,5.0,2.0,11.0,15.0,10.0,2.0,1.0,3.0,0.0,0.0,2.62,3.0,3.2,2.55,18/19
69,2018-10-01,1,19,2.0,1.0,0.0,0.0,0.0,11.0,10.0,5.0,2.0,9.0,12.0,3.0,3.0,3.0,4.0,0.0,0.0,2.25,3.5,3.4,2.25,18/19
70,2018-10-05,16,15,1.0,0.0,0.0,0.0,0.0,9.0,17.0,4.0,4.0,12.0,8.0,2.0,9.0,3.0,2.0,0.0,0.0,2.7,3.3,2.87,2.6,18/19
71,2018-10-06,17,3,1.0,1.0,1.0,0.0,0.0,6.0,19.0,3.0,2.0,8.0,11.0,1.0,10.0,2.0,2.0,0.0,0.0,2.14,3.1,4.2,2.05,18/19
72,2018-10-06,19,6,0.0,1.0,2.0,0.0,1.0,11.0,7.0,4.0,2.0,11.0,13.0,6.0,3.0,3.0,4.0,0.0,0.0,3.0,3.2,2.62,2.8,18/19
73,2018-10-06,13,12,1.0,2.0,2.0,1.0,1.0,8.0,17.0,2.0,8.0,10.0,11.0,2.0,10.0,2.0,1.0,1.0,0.0,2.2,3.4,3.6,2.2,18/19
74,2018-10-06,0,4,3.0,2.0,0.0,2.0,2.0,18.0,13.0,10.0,8.0,16.0,8.0,10.0,6.0,2.0,2.0,0.0,0.0,1.44,4.5,9.0,1.44,18/19
75,2018-10-06,14,10,1.0,0.0,0.0,0.0,0.0,19.0,8.0,7.0,6.0,7.0,11.0,6.0,2.0,2.0,1.0,0.0,1.0,1.22,7.0,15.0,1.22,18/19
76,2018-10-06,5,1,0.0,4.0,2.0,3.0,2.0,14.0,10.0,2.0,7.0,11.0,9.0,10.0,7.0,3.0,1.0,1.0,0.0,2.14,3.6,3.5,2.1,18/19
77,2018-10-07,2,7,1.0,5.0,2.0,1.0,1.0,21.0,9.0,4.0,7.0,11.0,12.0,4.0,2.0,2.0,0.0,0.0,0.0,5.25,4.33,1.66,5.0,18/19
78,2018-10-07,8,18,0.0,0.0,1.0,0.0,1.0,7.0,6.0,2.0,2.0,10.0,10.0,2.0,6.0,1.0,3.0,0.0,0.0,2.54,3.6,2.8,2.5,18/19
79,2018-10-07,9,11,0.0,3.0,2.0,1.0,2.0,15.0,21.0,6.0,6.0,13.0,11.0,4.0,12.0,6.0,0.0,0.0,0.0,6.0,4.1,1.61,6.0,18/19
80,2018-10-20,1,9,0.0,0.0,1.0,0.0,1.0,10.0,8.0,2.0,4.0,10.0,14.0,6.0,4.0,1.0,2.0,0.0,0.0,2.04,3.7,3.75,2.0,18/19
81,2018-10-20,10,2,4.0,2.0,0.0,2.0,1.0,22.0,9.0,5.0,4.0,15.0,16.0,4.0,4.0,3.0,3.0,0.0,0.0,2.5,3.5,2.95,2.45,18/19
82,2018-10-20,11,0,2.0,2.0,1.0,0.0,0.0,21.0,7.0,6.0,4.0,9.0,17.0,5.0,3.0,2.0,5.0,0.0,0.0,1.75,3.8,5.25,1.72,18/19
