,HomeTeam,AwayTeam,B365H,B365D,B365A,FTR
524,VfL Wolfsburg,Eintracht Frankfurt,1.83,3.6,4.2,0
525,Bayern München,TSG 1899 Hoffenheim,1.14,8.0,15.0,1
526,SC Freiburg,1. FC Nürnberg,2.15,3.3,3.4,0
527,VfB Stuttgart,Borussia Dortmund,4.75,4.0,1.67,2
528,Hannover 96,Werder Bremen,1.91,3.6,3.8,2
529,Borussia Mönchengladbach,Hamburger SV,1.75,3.75,4.5,0
530,Hamburger SV,Bayer Leverkusen,3.3,3.5,2.1,0
531,FC Augsburg,Bayern München,7.5,5.0,1.36,0
532,Borussia Dortmund,VfL Wolfsburg,1.44,4.5,6.5,0
533,Eintracht Frankfurt,1. FSV Mainz 05,2.5,3.3,2.8,0
534,1. FC Nürnberg,Borussia Mönchengladbach,3.3,3.4,2.15,2
535,VfB Stuttgart,SC Freiburg,1.8,3.75,4.2,0
536,Werder Bremen,FC Schalke 04,3.6,3.6,1.95,1
537,Hertha BSC,TSG 1899 Hoffenheim,2.38,3.6,2.7,1
538,FC Schalke 04,Eintracht Frankfurt,1.67,3.75,5.0,0
539,Borussia Mönchengladbach,VfB Stuttgart,1.95,3.5,3.8,1
540,VfL Wolfsburg,1. FC Nürnberg,1.57,4.2,5.25,0
541,1. FSV Mainz 05,Werder Bremen,1.8,3.6,4.33,0
542,Bayern München,Borussia Dortmund,1.5,4.33,6.0,2
543,Hannover 96,Hamburger SV,2.4,3.4,2.8,0
544,TSG 1899 Hoffenheim,FC Augsburg,2.4,3.5,2.8,0
545,Bayer Leverkusen,Hertha BSC,1.67,3.8,5.0,0
546,Eintracht Frankfurt,Hannover 96,2.0,3.5,3.6,2
547,FC Augsburg,Hertha BSC,1.91,3.5,4.0,1
548,Borussia Dortmund,1. FSV Mainz 05,1.36,5.0,7.5,0
549,SC Freiburg,Borussia Mönchengladbach,3.2,3.4,2.2,0
550,Hamburger SV,VfL Wolfsburg,2.9,3.5,2.3,2
551,Werder Bremen,TSG 1899 Hoffenheim,2.8,3.6,2.3,0
552,1. FC Nürnberg,Bayer Leverkusen,3.75,3.6,1.91,2
553,VfB Stuttgart,FC Schalke 04,2.63,3.5,2.5,0
554,Hannover 96,VfB Stuttgart,2.7,3.4,2.5,1
555,VfL Wolfsburg,SC Freiburg,1.44,4.75,6.0,1
556,1. FSV Mainz 05,1. FC Nürnberg,1.62,4.0,5.25,0
