,HomeTeam,AwayTeam,B365H,B365D,B365A,FTR
1137,Hamburger SV,SV Darmstadt 98,2.05,3.4,3.6,2
1138,FC Ingolstadt 04,Borussia Mönchengladbach,3.2,3.4,2.2,0
1139,VfB Stuttgart,Bayern München,6.0,4.33,1.5,2
1140,Werder Bremen,FC Augsburg,2.05,3.4,3.5,2
1141,VfL Wolfsburg,1. FSV Mainz 05,2.2,3.4,3.25,1
1142,1. FC Köln,Bayer Leverkusen,3.1,3.25,2.3,2
1143,FC Schalke 04,Borussia Dortmund,4.2,4.0,1.73,1
1144,Hannover 96,Borussia Mönchengladbach,5.5,4.0,1.62,0
1145,FC Augsburg,VfB Stuttgart,2.45,3.6,2.75,0
1146,Bayern München,FC Schalke 04,1.18,7.5,15.0,0
1147,SV Darmstadt 98,FC Ingolstadt 04,2.55,3.2,2.88,0
1148,Bayer Leverkusen,Eintracht Frankfurt,1.36,5.25,8.0,0
1149,Werder Bremen,VfL Wolfsburg,2.5,3.5,2.75,0
1150,TSG 1899 Hoffenheim,Hertha BSC,2.38,3.4,3.0,0
1151,Borussia Dortmund,Hamburger SV,1.33,5.25,9.0,0
1152,1. FSV Mainz 05,1. FC Köln,2.1,3.4,3.6,2
1153,Hamburger SV,Werder Bremen,2.6,3.5,2.63,0
1154,VfB Stuttgart,Borussia Dortmund,4.75,4.2,1.65,2
1155,FC Schalke 04,Bayer Leverkusen,3.0,3.3,2.4,2
1156,FC Ingolstadt 04,Hannover 96,1.91,3.4,4.33,1
1157,VfL Wolfsburg,FC Augsburg,1.8,3.75,4.33,2
1158,1. FC Köln,SV Darmstadt 98,1.95,3.3,4.33,0
1159,Hertha BSC,Bayern München,9.0,4.5,1.4,2
1160,Eintracht Frankfurt,1. FSV Mainz 05,2.88,3.3,2.5,0
1161,Borussia Mönchengladbach,TSG 1899 Hoffenheim,1.62,4.2,5.25,0
1162,FC Augsburg,1. FC Köln,2.45,3.25,3.0,1
1163,Bayern München,Borussia Mönchengladbach,1.4,5.0,7.5,1
1164,SV Darmstadt 98,Eintracht Frankfurt,2.5,3.2,3.0,2
1165,Borussia Dortmund,VfL Wolfsburg,1.36,5.0,8.5,0
1166,Hannover 96,FC Schalke 04,3.8,4.0,1.85,2
1167,1. FSV Mainz 05,Hamburger SV,1.8,3.75,4.33,1
1168,TSG 1899 Hoffenheim,FC Ingolstadt 04,1.8,3.6,4.6,0
1169,Bayer Leverkusen,Hertha BSC,1.62,3.75,6.0,0
1170,Werder Bremen,VfB Stuttgart,2.05,3.6,3.5,0
1171,Eintracht Frankfurt,Borussia Dortmund,7.0,4.75,1.45,0
1172,Hannover 96,TSG 1899 Hoffenheim,3.4,3.75,2.05,0
1173,Hertha BSC,SV Darmstadt 98,1.75,3.6,5.0,2
1174,FC Ingolstadt 04,Bayern München,15.0,7.0,1.18,2
1175,Borussia Mönchengladbach,Bayer Leverkusen,1.91,3.8,3.8,0
1176,FC Schalke 04,FC Augsburg,1.7,4.2,4.5,1
1177,VfB Stuttgart,1. FSV Mainz 05,2.1,3.8,3.2,2
1178,1. FC Köln,Werder Bremen,2.8,3.75,2.38,1
1179,Hamburger SV,VfL Wolfsburg,2.7,3.4,2.63,2
1180,TSG 1899 Hoffenheim,FC Schalke 04,3.2,3.8,2.05,2
1181,VfL Wolfsburg,VfB Stuttgart,2.3,4.0,2.75,0
1182,Werder Bremen,Eintracht Frankfurt,2.0,3.75,3.5,0
1183,1. FSV Mainz 05,Hertha BSC,2.05,3.6,3.5,1
1184,Bayer Leverkusen,FC Ingolstadt 04,1.5,4.33,6.5,0
1185,FC Augsburg,Hamburger SV,2.0,3.5,3.8,2
1186,Borussia Dortmund,1. FC Köln,1.29,5.75,8.0,1
1187,SV Darmstadt 98,Borussia Mönchengladbach,3.5,3.75,2.0,2
1188,Bayern München,Hannover 96,1.08,11.0,26.0,0
1189,Bayern München,Werder Bremen,1.1,10.0,23.0,0
1190,FC Augsburg,VfL Wolfsburg,2.8,3.25,2.6,2
1191,Borussia Dortmund,1. FSV Mainz 05,1.36,5.0,8.5,0
1192,Eintracht Frankfurt,FC Schalke 04,3.4,3.3,2.2,0
1193,1. FC Köln,SV Darmstadt 98,1.8,3.5,4.75,0
1194,Hamburger SV,FC Ingolstadt 04,2.2,3.2,3.5,1
1195,Borussia Mönchengladbach,Bayer Leverkusen,2.3,3.4,3.1,0
1196,TSG 1899 Hoffenheim,RB Leipzig,2.5,3.25,2.9,1
1197,Hertha BSC,SC Freiburg,2.15,3.3,3.5,0
1198,FC Schalke 04,Bayern München,10.0,5.5,1.3,2
1199,RB Leipzig,Borussia Dortmund,5.25,4.2,1.62,0
1200,Bayer Leverkusen,Hamburger SV,1.45,4.5,7.0,0
1201,FC Ingolstadt 04,Hertha BSC,2.4,3.1,3.2,2
1202,SC Freiburg,Borussia Mönchengladbach,3.6,3.6,2.0,0
1203,SV Darmstadt 98,Eintracht Frankfurt,3.0,3.3,2.4,0
1204,VfL Wolfsburg,1. FC Köln,1.85,3.75,4.2,1
1205,1. FSV Mainz 05,TSG 1899 Hoffenheim,2.0,3.5,3.75,1
1206,Werder Bremen,FC Augsburg,2.3,3.4,3.1,2
1207,1. FC Köln,SC Freiburg,1.8,3.6,4.5,0
1208,Bayern München,FC Ingolstadt 04,1.07,12.0,34.0,0
1209,Borussia Dortmund,SV Darmstadt 98,1.13,9.0,21.0,0
1210,Eintracht Frankfurt,Bayer Leverkusen,4.0,3.5,1.95,0
1211,Borussia Mönchengladbach,Werder Bremen,1.44,4.5,7.5,0
1212,TSG 1899 Hoffenheim,VfL Wolfsburg,3.1,3.6,2.25,1
1213,Hamburger SV,RB Leipzig,2.75,3.25,2.63,2
1214,Hertha BSC,FC Schalke 04,2.5,3.4,2.8,0
1215,FC Augsburg,1. FSV Mainz 05,2.38,3.4,3.0,2
1216,VfL Wolfsburg,Borussia Dortmund,4.75,3.75,1.75,2
1217,FC Ingolstadt 04,Eintracht Frankfurt,2.25,3.25,3.4,2
1218,SC Freiburg,Hamburger SV,2.3,3.4,3.1,0
1219,SV Darmstadt 98,TSG 1899 Hoffenheim,3.5,3.5,2.1,1
1220,Werder Bremen,1. FSV Mainz 05,3.0,3.5,2.3,2
1221,Bayer Leverkusen,FC Augsburg,1.45,4.5,7.0,1
1222,RB Leipzig,Borussia Mönchengladbach,2.38,3.5,3.0,1
1223,FC Schalke 04,1. FC Köln,2.1,3.4,3.6,2
1224,Bayern München,Hertha BSC,1.14,9.0,17.0,0
1225,Borussia Dortmund,SC Freiburg,1.18,7.5,15.0,0
1226,Werder Bremen,VfL Wolfsburg,3.9,3.75,1.91,0
1227,Borussia Mönchengladbach,FC Ingolstadt 04,1.8,3.6,4.75,0
1228,1. FSV Mainz 05,Bayer Leverkusen,3.0,3.3,2.4,2
1229,Hamburger SV,Bayern München,13.0,7.0,1.2,2
1230,FC Augsburg,SV Darmstadt 98,1.67,3.75,5.5,0
1231,Eintracht Frankfurt,Hertha BSC,2.25,3.2,3.4,1
1232,1. FC Köln,RB Leipzig,2.3,3.3,3.2,1
1233,TSG 1899 Hoffenheim,FC Schalke 04,2.7,3.4,2.6,0
1234,RB Leipzig,FC Augsburg,1.65,3.75,5.75,0
1235,FC Ingolstadt 04,TSG 1899 Hoffenheim,2.05,3.4,3.75,2
1236,Bayer Leverkusen,Borussia Dortmund,3.8,3.6,1.95,0
1237,SC Freiburg,Eintracht Frankfurt,2.3,3.3,3.2,0
1238,Bayern München,1. FC Köln,1.17,7.0,19.0,1
1239,Hertha BSC,Hamburger SV,2.0,3.25,4.2,0
1240,SV Darmstadt 98,Werder Bremen,3.1,3.4,2.3,1
1241,FC Schalke 04,Borussia Mönchengladbach,2.2,3.4,3.3,0
1242,VfL Wolfsburg,1. FSV Mainz 05,1.85,3.6,4.33,1
1243,Borussia Dortmund,Hertha BSC,1.33,5.25,9.0,1
1244,Werder Bremen,Bayer Leverkusen,4.75,4.2,1.67,0
1245,FC Augsburg,FC Schalke 04,3.1,3.4,2.3,1
1246,Eintracht Frankfurt,Bayern München,13.0,6.0,1.25,1
1247,TSG 1899 Hoffenheim,SC Freiburg,2.05,3.6,3.5,0
1248,Borussia Mönchengladbach,Hamburger SV,1.67,3.8,5.25,1
1249,1. FC Köln,FC Ingolstadt 04,1.8,3.5,4.75,0
1250,1. FSV Mainz 05,SV Darmstadt 98,1.5,4.0,7.5,0
1251,VfL Wolfsburg,RB Leipzig,2.4,3.3,3.0,2
1252,Hamburger SV,Eintracht Frankfurt,2.45,3.25,3.0,2
1253,Bayern München,Borussia Mönchengladbach,1.2,7.5,12.0,0
1254,SV Darmstadt 98,VfL Wolfsburg,4.5,3.6,1.8,0
1255,SC Freiburg,FC Augsburg,2.1,3.3,3.7,0
1256,Hertha BSC,1. FC Köln,2.5,3.2,3.0,0
1257,FC Ingolstadt 04,Borussia Dortmund,6.0,4.2,1.53,1
1258,Bayer Leverkusen,TSG 1899 Hoffenheim,1.5,4.33,6.0,2
1259,FC Schalke 04,1. FSV Mainz 05,1.95,3.6,3.8,0
1260,RB Leipzig,Werder Bremen,1.5,4.0,7.0,0
1261,Borussia Mönchengladbach,Eintracht Frankfurt,1.85,3.5,4.5,1
1262,VfL Wolfsburg,Bayer Leverkusen,2.7,3.4,2.6,2
1263,Werder Bremen,SC Freiburg,2.3,3.5,3.0,2
1264,1. FSV Mainz 05,FC Ingolstadt 04,2.1,3.3,3.75,0
1265,FC Augsburg,Bayern München,15.0,6.5,1.2,2
1266,SV Darmstadt 98,RB Leipzig,6.0,3.8,1.62,2
1267,Borussia Dortmund,FC Schalke 04,1.57,4.33,5.5,1
1268,1. FC Köln,Hamburger SV,1.57,3.8,6.5,0
1269,TSG 1899 Hoffenheim,Hertha BSC,2.25,3.4,3.2,0
1270,Hertha BSC,Borussia Mönchengladbach,2.5,3.2,3.0,0
1271,SC Freiburg,VfL Wolfsburg,2.6,3.3,2.75,2
1272,Eintracht Frankfurt,1. FC Köln,2.6,3.1,2.9,0
1273,Bayer Leverkusen,SV Darmstadt 98,1.25,5.75,13.0,0
1274,Hamburger SV,Borussia Dortmund,8.0,4.25,1.45,2
1275,Bayern München,TSG 1899 Hoffenheim,1.17,8.0,15.0,1
1276,FC Ingolstadt 04,FC Augsburg,2.1,3.3,3.75,2
1277,RB Leipzig,1. FSV Mainz 05,1.57,3.8,6.5,0
1278,FC Schalke 04,Werder Bremen,1.53,4.33,6.0,0
1279,Bayer Leverkusen,RB Leipzig,2.3,3.4,3.1,2
1280,FC Augsburg,Hertha BSC,2.7,3.2,2.75,1
1281,SV Darmstadt 98,FC Ingolstadt 04,3.0,3.1,2.55,2
1282,Borussia Dortmund,Bayern München,3.4,3.6,2.1,0
1283,1. FSV Mainz 05,SC Freiburg,2.1,3.5,3.5,0
1284,Borussia Mönchengladbach,1. FC Köln,2.2,3.3,3.4,2
1285,VfL Wolfsburg,FC Schalke 04,2.4,3.5,2.9,2
1286,Werder Bremen,Eintracht Frankfurt,2.7,3.5,2.55,2
1287,TSG 1899 Hoffenheim,Hamburger SV,1.62,4.0,5.5,1
1288,SC Freiburg,RB Leipzig,3.8,3.6,1.95,2
1289,Bayern München,Bayer Leverkusen,1.29,6.0,10.0,0
1290,Eintracht Frankfurt,Borussia Dortmund,4.75,4.2,1.65,0
1291,1. FC Köln,FC Augsburg,1.75,3.5,5.25,1
1292,Hamburger SV,Werder Bremen,2.38,3.4,3.0,1
1293,FC Ingolstadt 04,VfL Wolfsburg,2.9,3.3,2.5,1
1294,Borussia Mönchengladbach,TSG 1899 Hoffenheim,2.0,3.6,3.75,1
1295,Hertha BSC,1. FSV Mainz 05,2.0,3.5,3.8,0
1296,FC Schalke 04,SV Darmstadt 98,1.33,5.0,10.0,0
1297,1. FSV Mainz 05,Bayern München,10.0,5.75,1.29,2
1298,VfL Wolfsburg,Hertha BSC,2.1,3.2,3.8,2
1299,Werder Bremen,FC Ingolstadt 04,2.5,3.3,2.9,0
1300,RB Leipzig,FC Schalke 04,2.0,3.3,4.0,0
1301,Bayer Leverkusen,SC Freiburg,1.5,4.2,7.0,1
1302,Borussia Dortmund,Borussia Mönchengladbach,1.5,4.5,6.5,0
1303,TSG 1899 Hoffenheim,1. FC Köln,2.1,3.4,3.6,0
1304,SV Darmstadt 98,Hamburger SV,2.7,3.1,2.8,2
1305,FC Augsburg,Eintracht Frankfurt,2.8,3.0,2.75,1
1306,Eintracht Frankfurt,TSG 1899 Hoffenheim,2.4,3.3,3.0,1
1307,Bayern München,VfL Wolfsburg,1.17,7.5,17.0,0
1308,1. FC Köln,Borussia Dortmund,5.5,4.33,1.57,1
1309,SC Freiburg,SV Darmstadt 98,1.67,3.75,5.5,0
1310,Hamburger SV,FC Augsburg,2.3,3.2,3.25,0
1311,Hertha BSC,Werder Bremen,1.73,3.75,5.0,2
1312,FC Ingolstadt 04,RB Leipzig,4.33,3.75,1.8,0
1313,Borussia Mönchengladbach,1. FSV Mainz 05,1.67,4.0,5.0,0
1314,FC Schalke 04,Bayer Leverkusen,2.3,3.3,3.2,2
1315,TSG 1899 Hoffenheim,Borussia Dortmund,3.8,4.0,1.85,1
1316,VfL Wolfsburg,Eintracht Frankfurt,2.5,3.2,3.0,0
1317,FC Augsburg,Borussia Mönchengladbach,3.2,3.1,2.4,0
1318,1. FSV Mainz 05,Hamburger SV,1.91,3.6,4.0,0
1319,FC Schalke 04,SC Freiburg,1.67,4.0,5.0,1
1320,Werder Bremen,1. FC Köln,2.6,3.4,2.7,1
1321,RB Leipzig,Hertha BSC,1.62,3.8,6.0,0
1322,SV Darmstadt 98,Bayern München,19.0,8.0,1.14,2
1323,Bayer Leverkusen,FC Ingolstadt 04,1.55,4.0,6.25,2
1324,Borussia Dortmund,FC Augsburg,1.3,5.5,10.0,1
1325,Hamburger SV,FC Schalke 04,3.3,3.25,2.3,0
1326,Borussia Mönchengladbach,VfL Wolfsburg,1.95,3.5,4.0,2
1327,Eintracht Frankfurt,1. FSV Mainz 05,2.0,3.4,3.9,0
1328,TSG 1899 Hoffenheim,Werder Bremen,1.62,4.0,5.5,1
1329,FC Ingolstadt 04,SC Freiburg,2.1,3.3,3.75,2
1330,1. FC Köln,Bayer Leverkusen,2.75,3.3,2.6,1
1331,Bayern München,RB Leipzig,1.36,5.25,8.0,0
1332,Hertha BSC,SV Darmstadt 98,1.57,3.9,6.25,0
1333,SC Freiburg,Bayern München,13.0,6.5,1.22,2
1334,FC Augsburg,TSG 1899 Hoffenheim,2.8,3.3,2.6,2
1335,SV Darmstadt 98,Borussia Mönchengladbach,4.0,3.6,1.91,1
1336,RB Leipzig,Eintracht Frankfurt,1.62,3.8,6.0,0
1337,FC Schalke 04,FC Ingolstadt 04,1.8,3.6,4.75,0
1338,Werder Bremen,Borussia Dortmund,6.0,4.33,1.53,2
1339,VfL Wolfsburg,Hamburger SV,1.85,3.6,4.33,0
1340,1. FSV Mainz 05,1. FC Köln,2.4,3.3,3.0,1
1341,Bayer Leverkusen,Hertha BSC,1.67,3.7,5.5,0
1342,FC Schalke 04,Eintracht Frankfurt,1.73,3.6,5.25,2
1343,FC Ingolstadt 04,Hamburger SV,2.2,3.2,3.6,0
1344,Bayer Leverkusen,Borussia Mönchengladbach,1.85,3.6,4.33,2
1345,RB Leipzig,TSG 1899 Hoffenheim,1.73,3.75,4.8,0
1346,Werder Bremen,Bayern München,15.0,6.5,1.2,2
1347,VfL Wolfsburg,FC Augsburg,1.95,3.5,4.0,2
1348,SV Darmstadt 98,1. FC Köln,3.6,3.3,2.15,2
1349,SC Freiburg,Hertha BSC,2.5,3.25,2.9,0
1350,1. FSV Mainz 05,Borussia Dortmund,5.25,4.2,1.62,1
1351,Hamburger SV,Bayer Leverkusen,3.1,3.3,2.35,0
1352,Bayern München,FC Schalke 04,1.2,7.5,13.0,1
1353,Borussia Dortmund,RB Leipzig,1.67,3.8,5.25,0
1354,Hertha BSC,FC Ingolstadt 04,2.15,3.1,3.8,0
1355,TSG 1899 Hoffenheim,1. FSV Mainz 05,1.8,3.8,4.33,0
1356,Borussia Mönchengladbach,SC Freiburg,1.73,3.8,4.75,0
1357,1. FC Köln,VfL Wolfsburg,2.05,3.4,3.75,0
1358,Eintracht Frankfurt,SV Darmstadt 98,1.55,3.8,7.0,0
1359,FC Augsburg,Werder Bremen,2.1,3.5,3.5,0
1360,1. FSV Mainz 05,FC Augsburg,2.1,3.25,3.8,0
1361,SV Darmstadt 98,Borussia Dortmund,9.0,5.0,1.36,0
1362,Werder Bremen,Borussia Mönchengladbach,2.88,3.5,2.4,2
1363,FC Schalke 04,Hertha BSC,1.85,3.5,4.5,0
1364,Bayer Leverkusen,Eintracht Frankfurt,1.91,3.5,4.2,0
1365,RB Leipzig,Hamburger SV,1.5,4.2,7.0,2
1366,FC Ingolstadt 04,Bayern München,8.5,5.0,1.36,2
1367,SC Freiburg,1. FC Köln,2.7,3.1,2.8,0
1368,VfL Wolfsburg,TSG 1899 Hoffenheim,2.5,3.4,2.8,0
1369,FC Augsburg,Bayer Leverkusen,3.25,3.25,2.25,2
1370,Borussia Dortmund,VfL Wolfsburg,1.44,4.5,7.5,0
1371,Eintracht Frankfurt,FC Ingolstadt 04,2.05,3.1,4.2,2
1372,Hamburger SV,SC Freiburg,2.05,3.4,3.75,1
1373,Hertha BSC,Bayern München,10.0,4.33,1.36,1
1374,TSG 1899 Hoffenheim,SV Darmstadt 98,1.45,4.5,7.5,0
1375,1. FSV Mainz 05,Werder Bremen,1.95,3.5,4.0,2
1376,1. FC Köln,FC Schalke 04,2.5,3.1,3.1,1
1377,Borussia Mönchengladbach,RB Leipzig,2.6,3.2,2.8,2
1378,VfL Wolfsburg,Werder Bremen,1.91,3.5,4.2,2
1379,Bayer Leverkusen,1. FSV Mainz 05,1.73,3.8,4.75,2
1380,RB Leipzig,1. FC Köln,1.67,3.75,5.5,0
1381,SC Freiburg,Borussia Dortmund,5.75,4.2,1.57,2
1382,SV Darmstadt 98,FC Augsburg,2.8,3.25,2.6,2
1383,Hertha BSC,Eintracht Frankfurt,2.05,3.2,4.0,0
1384,Bayern München,Hamburger SV,1.14,8.5,19.0,0
1385,FC Schalke 04,TSG 1899 Hoffenheim,2.05,3.4,3.8,1
1386,FC Ingolstadt 04,Borussia Mönchengladbach,2.7,3.1,2.8,2
1387,FC Augsburg,RB Leipzig,4.2,3.5,1.91,1
1388,Borussia Dortmund,Bayer Leverkusen,1.5,4.33,6.5,0
1389,1. FC Köln,Bayern München,8.5,4.75,1.4,2
1390,TSG 1899 Hoffenheim,FC Ingolstadt 04,1.75,3.75,4.75,0
1391,1. FSV Mainz 05,VfL Wolfsburg,2.25,3.4,3.2,1
1392,Borussia Mönchengladbach,FC Schalke 04,2.3,3.3,3.2,0
1393,Werder Bremen,SV Darmstadt 98,1.67,4.0,5.0,0
1394,Hamburger SV,Hertha BSC,2.45,3.2,3.0,0
1395,Eintracht Frankfurt,SC Freiburg,2.1,3.5,3.5,2
1396,Bayer Leverkusen,Werder Bremen,1.5,4.33,6.5,1
1397,SV Darmstadt 98,1. FSV Mainz 05,3.5,3.25,2.2,0
1398,SC Freiburg,TSG 1899 Hoffenheim,3.0,3.4,2.38,1
1399,Hertha BSC,Borussia Dortmund,5.25,4.0,1.65,0
1400,FC Ingolstadt 04,1. FC Köln,2.5,3.1,3.1,1
1401,RB Leipzig,VfL Wolfsburg,1.62,3.8,6.0,2
1402,Bayern München,Eintracht Frankfurt,1.13,9.0,21.0,0
1403,Hamburger SV,Borussia Mönchengladbach,2.75,3.3,2.6,0
1404,FC Schalke 04,FC Augsburg,1.75,3.5,5.25,0
1405,Borussia Dortmund,FC Ingolstadt 04,1.3,5.5,10.5,0
1406,1. FC Köln,Hertha BSC,2.38,3.2,3.2,0
1407,FC Augsburg,SC Freiburg,2.4,3.3,3.0,1
1408,Eintracht Frankfurt,Hamburger SV,2.2,3.2,3.5,1
1409,TSG 1899 Hoffenheim,Bayer Leverkusen,2.15,3.6,3.3,0
1410,Werder Bremen,RB Leipzig,3.5,3.6,2.05,0
1411,VfL Wolfsburg,SV Darmstadt 98,1.5,4.0,7.5,0
1412,1. FSV Mainz 05,FC Schalke 04,2.63,3.5,2.63,2
1413,Borussia Mönchengladbach,Bayern München,8.0,4.75,1.4,2
1414,Hertha BSC,TSG 1899 Hoffenheim,2.9,3.1,2.6,2
1415,FC Schalke 04,Borussia Dortmund,3.75,3.6,2.0,1
1416,RB Leipzig,SV Darmstadt 98,1.36,5.0,9.0,0
1417,Hamburger SV,1. FC Köln,2.38,3.2,3.2,0
1418,Eintracht Frankfurt,Borussia Mönchengladbach,2.5,3.3,2.9,1
1419,Bayern München,FC Augsburg,1.1,10.0,26.0,0
1420,SC Freiburg,Werder Bremen,2.25,3.5,3.2,2
1421,FC Ingolstadt 04,1. FSV Mainz 05,2.1,3.3,3.8,0
1422,Bayer Leverkusen,VfL Wolfsburg,1.8,3.75,4.5,1
1423,Werder Bremen,FC Schalke 04,3.0,3.5,2.3,0
1424,Borussia Dortmund,Hamburger SV,1.29,5.75,10.0,0
1425,1. FC Köln,Eintracht Frankfurt,2.35,3.2,3.2,0
1426,TSG 1899 Hoffenheim,Bayern München,6.0,4.6,1.5,0
1427,Borussia Mönchengladbach,Hertha BSC,1.83,3.5,4.5,0
1428,1. FSV Mainz 05,RB Leipzig,3.4,3.4,2.15,2
1429,VfL Wolfsburg,SC Freiburg,1.73,3.75,5.0,2
1430,FC Augsburg,FC Ingolstadt 04,2.7,3.1,2.8,2
1431,SV Darmstadt 98,Bayer Leverkusen,5.0,3.8,1.7,2
1432,Eintracht Frankfurt,Werder Bremen,2.0,3.5,3.8,1
1433,Bayern München,Borussia Dortmund,1.62,4.0,5.5,0
1434,1. FC Köln,Borussia Mönchengladbach,2.63,3.2,2.8,2
1435,SC Freiburg,1. FSV Mainz 05,2.38,3.4,3.0,0
1436,Hamburger SV,TSG 1899 Hoffenheim,3.5,3.5,2.1,0
1437,RB Leipzig,Bayer Leverkusen,1.91,3.6,4.0,0
1438,FC Schalke 04,VfL Wolfsburg,2.0,3.5,3.75,0
1439,Hertha BSC,FC Augsburg,1.75,3.5,5.25,0
1440,FC Ingolstadt 04,SV Darmstadt 98,1.5,4.0,7.5,0
1441,VfL Wolfsburg,FC Ingolstadt 04,2.0,3.3,3.75,0
1442,RB Leipzig,SC Freiburg,1.44,4.33,7.0,0
1443,TSG 1899 Hoffenheim,Borussia Mönchengladbach,2.0,3.5,3.6,0
1444,Bayer Leverkusen,Bayern München,4.75,4.2,1.62,1
1445,Borussia Dortmund,Eintracht Frankfurt,1.44,4.33,7.0,0
1446,1. FSV Mainz 05,Hertha BSC,2.25,3.2,3.3,0
1447,FC Augsburg,1. FC Köln,2.8,3.2,2.55,0
1448,SV Darmstadt 98,FC Schalke 04,5.75,3.8,1.6,0
1449,Werder Bremen,Hamburger SV,2.25,3.4,3.1,0
1450,1. FC Köln,TSG 1899 Hoffenheim,3.0,3.4,2.38,1
1451,Borussia Mönchengladbach,Borussia Dortmund,3.5,3.7,2.05,2
1452,FC Ingolstadt 04,Werder Bremen,2.2,3.5,3.2,2
1453,Hamburger SV,SV Darmstadt 98,1.4,4.75,8.0,2
1454,Eintracht Frankfurt,FC Augsburg,1.75,3.6,5.0,0
1455,Hertha BSC,VfL Wolfsburg,2.5,3.3,2.9,0
1456,Bayern München,1. FSV Mainz 05,1.18,7.0,17.0,1
1457,SC Freiburg,Bayer Leverkusen,3.4,3.6,2.1,0
1458,FC Schalke 04,RB Leipzig,3.0,3.5,2.3,1
1459,Bayer Leverkusen,FC Schalke 04,2.1,3.5,3.5,2
1460,VfL Wolfsburg,Bayern München,8.0,4.75,1.4,2
1461,Werder Bremen,Hertha BSC,2.05,3.5,3.6,0
1462,1. FSV Mainz 05,Borussia Mönchengladbach,2.2,3.4,3.3,2
1463,Borussia Dortmund,1. FC Köln,1.29,5.75,10.0,1
1464,SV Darmstadt 98,SC Freiburg,3.3,3.3,2.25,0
1465,RB Leipzig,FC Ingolstadt 04,1.45,4.5,7.0,1
1466,TSG 1899 Hoffenheim,Eintracht Frankfurt,1.57,4.0,6.0,0
1467,FC Augsburg,Hamburger SV,2.5,3.3,2.9,0
1468,1. FC Köln,Werder Bremen,2.55,3.5,2.7,0
1469,Bayern München,SV Darmstadt 98,1.07,13.0,26.0,0
1470,Borussia Dortmund,TSG 1899 Hoffenheim,1.5,4.75,5.75,0
1471,Eintracht Frankfurt,VfL Wolfsburg,2.6,3.4,2.7,2
1472,Hertha BSC,RB Leipzig,3.5,3.5,2.1,2
1473,FC Ingolstadt 04,Bayer Leverkusen,2.38,3.5,2.9,1
1474,Borussia Mönchengladbach,FC Augsburg,1.73,3.8,4.75,1
1475,SC Freiburg,FC Schalke 04,3.3,3.5,2.15,0
1476,Hamburger SV,1. FSV Mainz 05,2.38,3.4,3.0,1
1477,FC Augsburg,Borussia Dortmund,6.0,4.6,1.5,1
1478,SV Darmstadt 98,Hertha BSC,3.5,3.4,2.15,2
1479,SC Freiburg,FC Ingolstadt 04,2.38,3.5,2.9,1
1480,Bayer Leverkusen,1. FC Köln,2.1,3.5,3.5,1
1481,1. FSV Mainz 05,Eintracht Frankfurt,1.7,3.8,5.0,0
1482,RB Leipzig,Bayern München,3.75,3.7,1.95,2
1483,FC Schalke 04,Hamburger SV,2.05,3.75,3.5,1
1484,Werder Bremen,TSG 1899 Hoffenheim,2.63,3.6,2.55,2
1485,VfL Wolfsburg,Borussia Mönchengladbach,1.95,3.6,4.0,1
1486,Borussia Mönchengladbach,SV Darmstadt 98,1.33,5.5,8.5,1
1487,TSG 1899 Hoffenheim,FC Augsburg,1.36,5.0,8.5,1
1488,Hertha BSC,Bayer Leverkusen,2.05,3.4,3.8,2
1489,Hamburger SV,VfL Wolfsburg,2.6,3.4,2.7,0
1490,FC Ingolstadt 04,FC Schalke 04,2.63,3.5,2.6,1
1491,Eintracht Frankfurt,RB Leipzig,4.0,3.6,1.91,1
1492,1. FC Köln,1. FSV Mainz 05,1.62,4.0,5.5,0
1493,Bayern München,SC Freiburg,1.17,8.0,15.0,0
1494,Borussia Dortmund,Werder Bremen,1.2,7.5,12.0,0
1495,Bayern München,Bayer Leverkusen,1.25,6.0,12.0,0
1496,Hamburger SV,FC Augsburg,2.1,3.4,3.6,0
1497,Hertha BSC,VfB Stuttgart,2.0,3.4,3.9,0
1498,TSG 1899 Hoffenheim,Werder Bremen,1.75,4.0,4.33,0
1499,1. FSV Mainz 05,Hannover 96,2.0,3.4,4.0,2
1500,FC Schalke 04,RB Leipzig,2.8,3.4,2.5,0
1501,VfL Wolfsburg,Borussia Dortmund,3.8,4.0,1.85,2
1502,Borussia Mönchengladbach,1. FC Köln,1.91,3.5,4.1,0
1503,SC Freiburg,Eintracht Frankfurt,2.45,3.25,3.0,1
1504,1. FC Köln,Hamburger SV,1.95,3.4,4.0,2
1505,Borussia Dortmund,Hertha BSC,1.36,5.0,7.5,0
1506,Eintracht Frankfurt,VfL Wolfsburg,2.3,3.25,3.3,2
1507,Bayer Leverkusen,TSG 1899 Hoffenheim,2.05,3.6,3.6,1
1508,VfB Stuttgart,1. FSV Mainz 05,2.3,3.4,3.1,0
1509,Werder Bremen,Bayern München,11.0,6.5,1.25,2
1510,FC Augsburg,Borussia Mönchengladbach,3.25,3.4,2.25,1
1511,Hannover 96,FC Schalke 04,3.3,3.4,2.2,0
1512,RB Leipzig,SC Freiburg,1.36,5.0,8.5,0
1513,Hamburger SV,RB Leipzig,4.0,3.6,1.91,2
1514,TSG 1899 Hoffenheim,Bayern München,7.0,4.5,1.45,0
1515,1. FSV Mainz 05,Bayer Leverkusen,3.0,3.4,2.38,0
